,district,date,month,year,visitors
125,Komaram Bheem Asifabad,01-06-2016,June,2016, 
126,Komaram Bheem Asifabad,01-07-2016,July,2016, 
127,Komaram Bheem Asifabad,01-08-2016,August,2016, 
128,Komaram Bheem Asifabad,01-09-2016,September,2016, 
129,Komaram Bheem Asifabad,01-10-2016,October,2016,0
130,Komaram Bheem Asifabad,01-11-2016,November,2016,0
131,Komaram Bheem Asifabad,01-12-2016,December,2016,0
132,Mahabubabad ,01-01-2016,January,2016, 
133,Mahabubabad ,01-02-2016,February,2016, 
134,Mahabubabad ,01-03-2016,March,2016, 
135,Mahabubabad ,01-04-2016,April,2016, 
136,Mahabubabad ,01-05-2016,May,2016, 
137,Mahabubabad ,01-06-2016,June,2016, 
138,Mahabubabad ,01-07-2016,July,2016, 
139,Mahabubabad ,01-08-2016,August,2016, 
140,Mahabubabad ,01-09-2016,September,2016, 
141,Mahabubabad ,01-10-2016,October,2016,0
142,Mahabubabad ,01-11-2016,November,2016,0
143,Mahabubabad ,01-12-2016,December,2016,0
144,Mahbubnagar,01-01-2016,January,2016,123
145,Mahbubnagar,01-02-2016,February,2016,126
146,Mahbubnagar,01-03-2016,March,2016,103
147,Mahbubnagar,01-04-2016,April,2016,75
148,Mahbubnagar,01-05-2016,May,2016,58
149,Mahbubnagar,01-06-2016,June,2016,68
150,Mahbubnagar,01-07-2016,July,2016,63
151,Mahbubnagar,01-08-2016,August,2016,86
152,Mahbubnagar,01-09-2016,September,2016,74
153,Mahbubnagar,01-10-2016,October,2016,37
154,Mahbubnagar,01-11-2016,November,2016,29
155,Mahbubnagar,01-12-2016,December,2016,26
156,Mancherial,01-01-2016,January,2016, 
157,Mancherial,01-02-2016,February,2016, 
158,Mancherial,01-03-2016,March,2016, 
159,Mancherial,01-04-2016,April,2016, 
160,Mancherial,01-05-2016,May,2016, 
161,Mancherial,01-06-2016,June,2016, 
162,Mancherial,01-07-2016,July,2016, 
163,Mancherial,01-08-2016,August,2016, 
164,Mancherial,01-09-2016,September,2016, 
165,Mancherial,01-10-2016,October,2016,0
166,Mancherial,01-11-2016,November,2016,0
167,Mancherial,01-12-2016,December,2016,0
168,Medak ,01-01-2016,January,2016,0
169,Medak ,01-02-2016,February,2016,0
170,Medak ,01-03-2016,March,2016,0
171,Medak ,01-04-2016,April,2016,0
172,Medak ,01-05-2016,May,2016,0
173,Medak ,01-06-2016,June,2016,0
174,Medak ,01-07-2016,July,2016,0
175,Medak ,01-08-2016,August,2016,0
176,Medak ,01-09-2016,September,2016,0
177,Medak ,01-10-2016,October,2016,0
178,Medak ,01-11-2016,November,2016,0
179,Medak ,01-12-2016,December,2016,0
180,Medchal ,01-01-2016,January,2016, 
181,Medchal ,01-02-2016,February,2016, 
182,Medchal ,01-03-2016,March,2016, 
183,Medchal ,01-04-2016,April,2016, 
184,Medchal ,01-05-2016,May,2016, 
185,Medchal ,01-06-2016,June,2016, 
186,Medchal ,01-07-2016,July,2016, 
187,Medchal ,01-08-2016,August,2016, 
188,Medchal ,01-09-2016,September,2016, 
189,Medchal ,01-10-2016,October,2016, 
190,Medchal ,01-11-2016,November,2016, 
191,Medchal ,01-12-2016,December,2016, 
192,Nagarkurnool ,01-01-2016,January,2016, 
193,Nagarkurnool ,01-02-2016,February,2016, 
194,Nagarkurnool ,01-03-2016,March,2016, 
195,Nagarkurnool ,01-04-2016,April,2016, 
196,Nagarkurnool ,01-05-2016,May,2016, 
197,Nagarkurnool ,01-06-2016,June,2016, 
198,Nagarkurnool ,01-07-2016,July,2016, 
199,Nagarkurnool ,01-08-2016,August,2016, 
200,Nagarkurnool ,01-09-2016,September,2016, 
201,Nagarkurnool ,01-10-2016,October,2016,8
202,Nagarkurnool ,01-11-2016,November,2016,11
203,Nagarkurnool ,01-12-2016,December,2016,10
204,Nalgonda,01-01-2016,January,2016,0
205,Nalgonda,01-02-2016,February,2016,0
206,Nalgonda,01-03-2016,March,2016,0
207,Nalgonda,01-04-2016,April,2016,0
208,Nalgonda,01-05-2016,May,2016,0
209,Nalgonda,01-06-2016,June,2016,0
210,Nalgonda,01-07-2016,July,2016,0
211,Nalgonda,01-08-2016,August,2016,0
212,Nalgonda,01-09-2016,September,2016,0
213,Nalgonda,01-10-2016,October,2016,0
214,Nalgonda,01-11-2016,November,2016,0
215,Nalgonda,01-12-2016,December,2016,0
216,Nirmal,01-01-2016,January,2016, 
217,Nirmal,01-02-2016,February,2016, 
218,Nirmal,01-03-2016,March,2016, 
219,Nirmal,01-04-2016,April,2016, 
220,Nirmal,01-05-2016,May,2016, 
221,Nirmal,01-06-2016,June,2016, 
222,Nirmal,01-07-2016,July,2016, 
223,Nirmal,01-08-2016,August,2016, 
224,Nirmal,01-09-2016,September,2016, 
225,Nirmal,01-10-2016,October,2016,0
226,Nirmal,01-11-2016,November,2016,0
227,Nirmal,01-12-2016,December,2016,0
228,Nizamabad,01-01-2016,January,2016,0
229,Nizamabad,01-02-2016,February,2016,0
230,Nizamabad,01-03-2016,March,2016,0
231,Nizamabad,01-04-2016,April,2016,0
232,Nizamabad,01-05-2016,May,2016,0
233,Nizamabad,01-06-2016,June,2016,0
234,Nizamabad,01-07-2016,July,2016,0
235,Nizamabad,01-08-2016,August,2016,0
236,Nizamabad,01-09-2016,September,2016,0
237,Nizamabad,01-10-2016,October,2016,0
238,Nizamabad,01-11-2016,November,2016,0
239,Nizamabad,01-12-2016,December,2016,0
240,Peddapalli,01-01-2016,January,2016, 
241,Peddapalli,01-02-2016,February,2016, 
242,Peddapalli,01-03-2016,March,2016, 
243,Peddapalli,01-04-2016,April,2016, 
244,Peddapalli,01-05-2016,May,2016, 
245,Peddapalli,01-06-2016,June,2016, 
246,Peddapalli,01-07-2016,July,2016, 
247,Peddapalli,01-08-2016,August,2016, 
248,Peddapalli,01-09-2016,September,2016, 
249,Peddapalli,01-10-2016,October,2016,0
250,Peddapalli,01-11-2016,November,2016,0
251,Peddapalli,01-12-2016,December,2016,0
252,Rajanna Sircilla ,01-01-2016,January,2016, 
253,Rajanna Sircilla ,01-02-2016,February,2016, 
254,Rajanna Sircilla ,01-03-2016,March,2016, 
255,Rajanna Sircilla ,01-04-2016,April,2016, 
256,Rajanna Sircilla ,01-05-2016,May,2016, 
257,Rajanna Sircilla ,01-06-2016,June,2016, 
258,Rajanna Sircilla ,01-07-2016,July,2016, 
259,Rajanna Sircilla ,01-08-2016,August,2016, 
260,Rajanna Sircilla ,01-09-2016,September,2016, 
261,Rajanna Sircilla ,01-10-2016,October,2016,0
262,Rajanna Sircilla ,01-11-2016,November,2016,0
263,Rajanna Sircilla ,01-12-2016,December,2016,0
264,Ranga Reddy,01-01-2016,January,2016, 
265,Ranga Reddy,01-02-2016,February,2016, 
266,Ranga Reddy,01-03-2016,March,2016, 
267,Ranga Reddy,01-04-2016,April,2016, 
268,Ranga Reddy,01-05-2016,May,2016, 
269,Ranga Reddy,01-06-2016,June,2016, 
270,Ranga Reddy,01-07-2016,July,2016, 
271,Ranga Reddy,01-08-2016,August,2016, 
272,Ranga Reddy,01-09-2016,September,2016, 
273,Ranga Reddy,01-10-2016,October,2016, 
274,Ranga Reddy,01-11-2016,November,2016, 
275,Ranga Reddy,01-12-2016,December,2016, 
276,Sangareddy ,01-01-2016,January,2016, 
277,Sangareddy ,01-02-2016,February,2016, 
278,Sangareddy ,01-03-2016,March,2016, 
279,Sangareddy ,01-04-2016,April,2016, 
280,Sangareddy ,01-05-2016,May,2016, 
281,Sangareddy ,01-06-2016,June,2016, 
282,Sangareddy ,01-07-2016,July,2016, 
283,Sangareddy ,01-08-2016,August,2016, 
284,Sangareddy ,01-09-2016,September,2016, 
285,Sangareddy ,01-10-2016,October,2016,0
286,Sangareddy ,01-11-2016,November,2016,0
287,Sangareddy ,01-12-2016,December,2016,0
288,Siddipet,01-01-2016,January,2016, 
289,Siddipet,01-02-2016,February,2016, 
290,Siddipet,01-03-2016,March,2016, 
291,Siddipet,01-04-2016,April,2016, 
292,Siddipet,01-05-2016,May,2016, 
293,Siddipet,01-06-2016,June,2016, 
294,Siddipet,01-07-2016,July,2016, 
295,Siddipet,01-08-2016,August,2016, 
296,Siddipet,01-09-2016,September,2016, 
297,Siddipet,01-10-2016,October,2016,0
298,Siddipet,01-11-2016,November,2016,0
299,Siddipet,01-12-2016,December,2016,0
300,Suryapet,01-01-2016,January,2016, 
301,Suryapet,01-02-2016,February,2016, 
302,Suryapet,01-03-2016,March,2016, 
303,Suryapet,01-04-2016,April,2016, 
304,Suryapet,01-05-2016,May,2016, 
305,Suryapet,01-06-2016,June,2016, 
306,Suryapet,01-07-2016,July,2016, 
307,Suryapet,01-08-2016,August,2016, 
308,Suryapet,01-09-2016,September,2016, 
309,Suryapet,01-10-2016,October,2016,0
310,Suryapet,01-11-2016,November,2016,0
311,Suryapet,01-12-2016,December,2016,0
312,Vikarabad,01-01-2016,January,2016, 
313,Vikarabad,01-02-2016,February,2016, 
314,Vikarabad,01-03-2016,March,2016, 
315,Vikarabad,01-04-2016,April,2016, 
316,Vikarabad,01-05-2016,May,2016, 
317,Vikarabad,01-06-2016,June,2016, 
318,Vikarabad,01-07-2016,July,2016, 
319,Vikarabad,01-08-2016,August,2016, 
320,Vikarabad,01-09-2016,September,2016, 
321,Vikarabad,01-10-2016,October,2016, 
322,Vikarabad,01-11-2016,November,2016, 
323,Vikarabad,01-12-2016,December,2016, 
324,Wanaparthy ,01-01-2016,January,2016, 
325,Wanaparthy ,01-02-2016,February,2016, 
326,Wanaparthy ,01-03-2016,March,2016, 
327,Wanaparthy ,01-04-2016,April,2016, 
328,Wanaparthy ,01-05-2016,May,2016, 
329,Wanaparthy ,01-06-2016,June,2016, 
330,Wanaparthy ,01-07-2016,July,2016, 
331,Wanaparthy ,01-08-2016,August,2016, 
332,Wanaparthy ,01-09-2016,September,2016, 
333,Wanaparthy ,01-10-2016,October,2016,0
334,Wanaparthy ,01-11-2016,November,2016,0
335,Wanaparthy ,01-12-2016,December,2016,0
336,Warangal (Rural),01-01-2016,January,2016, 
337,Warangal (Rural),01-02-2016,February,2016, 
338,Warangal (Rural),01-03-2016,March,2016, 
339,Warangal (Rural),01-04-2016,April,2016, 
340,Warangal (Rural),01-05-2016,May,2016, 
341,Warangal (Rural),01-06-2016,June,2016, 
342,Warangal (Rural),01-07-2016,July,2016, 
343,Warangal (Rural),01-08-2016,August,2016, 
344,Warangal (Rural),01-09-2016,September,2016, 
345,Warangal (Rural),01-10-2016,October,2016,0
346,Warangal (Rural),01-11-2016,November,2016,0
347,Warangal (Rural),01-12-2016,December,2016,0
348,Warangal (Urban),01-01-2016,January,2016,459
349,Warangal (Urban),01-02-2016,February,2016,391
350,Warangal (Urban),01-03-2016,March,2016,230
351,Warangal (Urban),01-04-2016,April,2016,39
352,Warangal (Urban),01-05-2016,May,2016,82
353,Warangal (Urban),01-06-2016,June,2016,88
354,Warangal (Urban),01-07-2016,July,2016,53
355,Warangal (Urban),01-08-2016,August,2016,102
356,Warangal (Urban),01-09-2016,September,2016,118
357,Warangal (Urban),01-10-2016,October,2016,108
358,Warangal (Urban),01-11-2016,November,2016,97
359,Warangal (Urban),01-12-2016,December,2016,132
360,Yadadri Bhongir,01-01-2016,January,2016, 
361,Yadadri Bhongir,01-02-2016,February,2016, 
362,Yadadri Bhongir,01-03-2016,March,2016, 
363,Yadadri Bhongir,01-04-2016,April,2016, 
364,Yadadri Bhongir,01-05-2016,May,2016, 
365,Yadadri Bhongir,01-06-2016,June,2016, 
366,Yadadri Bhongir,01-07-2016,July,2016, 
367,Yadadri Bhongir,01-08-2016,August,2016, 
368,Yadadri Bhongir,01-09-2016,September,2016, 
369,Yadadri Bhongir,01-10-2016,October,2016,0
370,Yadadri Bhongir,01-11-2016,November,2016,0
371,Yadadri Bhongir,01-12-2016,December,2016,0
372,Adilabad,01-01-2017,January,2017,5
373,Adilabad,01-02-2017,February,2017,0
374,Adilabad,01-03-2017,March,2017,0
375,Adilabad,01-04-2017,April,2017,0
376,Adilabad,01-05-2017,May,2017,0
377,Adilabad,01-06-2017,June,2017,3
378,Adilabad,01-07-2017,July,2017,0
379,Adilabad,01-08-2017,August,2017,0
380,Adilabad,01-09-2017,September,2017,3
381,Adilabad,01-10-2017,October,2017,0
382,Adilabad,01-11-2017,November,2017,0
383,Adilabad,01-12-2017,December,2017,0
384,Bhadradri Kothagudem ,01-01-2017,January,2017,0
385,Bhadradri Kothagudem ,01-02-2017,February,2017,0
386,Bhadradri Kothagudem ,01-03-2017,March,2017,0
387,Bhadradri Kothagudem ,01-04-2017,April,2017,0
388,Bhadradri Kothagudem ,01-05-2017,May,2017,0
389,Bhadradri Kothagudem ,01-06-2017,June,2017,0
390,Bhadradri Kothagudem ,01-07-2017,July,2017,0
391,Bhadradri Kothagudem ,01-08-2017,August,2017,0
392,Bhadradri Kothagudem ,01-09-2017,September,2017,0
393,Bhadradri Kothagudem ,01-10-2017,October,2017,0
394,Bhadradri Kothagudem ,01-11-2017,November,2017,0
395,Bhadradri Kothagudem ,01-12-2017,December,2017,0
396,Hyderabad,01-01-2017,January,2017,19286
397,Hyderabad,01-02-2017,February,2017,18097
398,Hyderabad,01-03-2017,March,2017,13875
399,Hyderabad,01-04-2017,April,2017,12996
400,Hyderabad,01-05-2017,May,2017,12983
401,Hyderabad,01-06-2017,June,2017,12486
402,Hyderabad,01-07-2017,July,2017,18144
403,Hyderabad,01-08-2017,August,2017,16985
404,Hyderabad,01-09-2017,September,2017,27856
405,Hyderabad,01-10-2017,October,2017,26368
406,Hyderabad,01-11-2017,November,2017,29170
407,Hyderabad,01-12-2017,December,2017,38933
408,Jagtial ,01-01-2017,January,2017,0
409,Jagtial ,01-02-2017,February,2017,0
410,Jagtial ,01-03-2017,March,2017,0
411,Jagtial ,01-04-2017,April,2017,0
412,Jagtial ,01-05-2017,May,2017,0
413,Jagtial ,01-06-2017,June,2017,0
414,Jagtial ,01-07-2017,July,2017,0
415,Jagtial ,01-08-2017,August,2017,0
416,Jagtial ,01-09-2017,September,2017,0
417,Jagtial ,01-10-2017,October,2017,0
418,Jagtial ,01-11-2017,November,2017,0
419,Jagtial ,01-12-2017,December,2017,0
420,Jangaon ,01-01-2017,January,2017,0
421,Jangaon ,01-02-2017,February,2017,0
422,Jangaon ,01-03-2017,March,2017,0
423,Jangaon ,01-04-2017,April,2017,0
424,Jangaon ,01-05-2017,May,2017,0
425,Jangaon ,01-06-2017,June,2017,0
426,Jangaon ,01-07-2017,July,2017,0
427,Jangaon ,01-08-2017,August,2017,0
428,Jangaon ,01-09-2017,September,2017,0
429,Jangaon ,01-10-2017,October,2017,0
430,Jangaon ,01-11-2017,November,2017,0
431,Jangaon ,01-12-2017,December,2017,0
432,Jayashankar Bhoopalpally,01-01-2017,January,2017,85
433,Jayashankar Bhoopalpally,01-02-2017,February,2017,38
434,Jayashankar Bhoopalpally,01-03-2017,March,2017,35
435,Jayashankar Bhoopalpally,01-04-2017,April,2017,36
436,Jayashankar Bhoopalpally,01-05-2017,May,2017,40
437,Jayashankar Bhoopalpally,01-06-2017,June,2017,35
438,Jayashankar Bhoopalpally,01-07-2017,July,2017,42
439,Jayashankar Bhoopalpally,01-08-2017,August,2017,45
440,Jayashankar Bhoopalpally,01-09-2017,September,2017,56
