district,April,August,December,February,January,July,June,March,May,November,October,September,Year
Bhadradri Kothagudem ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Hyderabad,18267,22725,34084,25621,35920,27874,20077,21929,17317,32762,28706,34018,2019
Jagtial ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Jangaon ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Jayashankar Bhoopalpally,0,0,0,0,45,0,0,0,0,0,0,0,2019
Jogulamba Gadwal ,16,42,11,6,36,37,22,22,20,45,13,25,2019
Kamareddy ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Karimnagar ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Khammam,0,0,0,0,0,0,0,0,0,0,0,0,2019
Komaram Bheem Asifabad,0,0,0,0,0,0,0,0,0,0,0,0,2019
Mahabubabad ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Mahbubnagar,34,44,26,29,45,47,28,28,20,68,37,34,2019
Mancherial,0,0,0,0,0,0,0,0,0,10,0,0,2019
Medak ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Medchal , , , , , , , , , , , , ,2019
Mulugu,40,50,65,45,0,55,50,40,40,70,60,60,2019
Nagarkurnool ,18,22,10,15,35,17,14,14,14,30,3,7,2019
Nalgonda,0,0,0,0,0,0,0,0,0,0,0,0,2019
Narayanpet,0,0,5,0,0,0,0,0,0,0,0,0,2019
Nirmal,0,0,0,0,0,0,0,0,0,0,0,0,2019
Nizamabad,0,0,0,1,0,0,0,0,0,0,0,0,2019
Peddapalli,0,0,0,0,0,0,0,0,0,0,0,0,2019
Rajanna Sircilla ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Ranga Reddy, , , , , , , , , , , , ,2019
Sangareddy ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Siddipet,0,0,0,0,0,0,0,0,0,0,0,0,2019
Suryapet,0,0,0,0,0,0,0,0,0,0,0,0,2019
Vikarabad, , , , , , , , , , , , ,2019
Wanaparthy ,0,0,0,0,0,0,0,0,0,0,0,0,2019
Warangal (Rural),0,0,0,0,0,0,0,0,0,0,0,0,2019
Warangal (Urban),190,230,210,200,175,185,195,200,175,230,220,240,2019
Yadadri Bhongir,0,0,0,0,0,0,0,0,0,0,0,0,2019
