,district,date,month,year,visitors
0,Adilabad,01-01-2019,January,2019,25071
1,Adilabad,01-02-2019,February,2019,406177
2,Adilabad,01-03-2019,March,2019,14347
3,Adilabad,01-04-2019,April,2019,9972
4,Adilabad,01-05-2019,May,2019,6997
5,Adilabad,01-06-2019,June,2019,9161
6,Adilabad,01-07-2019,July,2019,11791
7,Adilabad,01-08-2019,August,2019,108173
8,Adilabad,01-09-2019,September,2019,37589
9,Adilabad,01-10-2019,October,2019,38184
10,Adilabad,01-11-2019,November,2019,70344
11,Adilabad,01-12-2019,December,2019,38089
12,Bhadradri Kothagudem ,01-01-2019,January,2019,283365
13,Bhadradri Kothagudem ,01-02-2019,February,2019,229159
14,Bhadradri Kothagudem ,01-03-2019,March,2019,225448
15,Bhadradri Kothagudem ,01-04-2019,April,2019,349585
16,Bhadradri Kothagudem ,01-05-2019,May,2019,275800
17,Bhadradri Kothagudem ,01-06-2019,June,2019,9761776
18,Bhadradri Kothagudem ,01-07-2019,July,2019,233338
19,Bhadradri Kothagudem ,01-08-2019,August,2019,271941
20,Bhadradri Kothagudem ,01-09-2019,September,2019,314199
21,Bhadradri Kothagudem ,01-10-2019,October,2019,287432
22,Bhadradri Kothagudem ,01-11-2019,November,2019,298366
23,Bhadradri Kothagudem ,01-12-2019,December,2019,287328
24,Hyderabad,01-01-2019,January,2019,1426500
25,Hyderabad,01-02-2019,February,2019,983147
26,Hyderabad,01-03-2019,March,2019,1009991
27,Hyderabad,01-04-2019,April,2019,1045933
28,Hyderabad,01-05-2019,May,2019,1305748
29,Hyderabad,01-06-2019,June,2019,1262995
30,Hyderabad,01-07-2019,July,2019,1094861
31,Hyderabad,01-08-2019,August,2019,1121380
32,Hyderabad,01-09-2019,September,2019,959930
33,Hyderabad,01-10-2019,October,2019,1240643
34,Hyderabad,01-11-2019,November,2019,1073665
35,Hyderabad,01-12-2019,December,2019,1277569
36,Jagtial ,01-01-2019,January,2019,211913
37,Jagtial ,01-02-2019,February,2019,215105
38,Jagtial ,01-03-2019,March,2019,194090
39,Jagtial ,01-04-2019,April,2019,447226
40,Jagtial ,01-05-2019,May,2019,500206
41,Jagtial ,01-06-2019,June,2019,235363
42,Jagtial ,01-07-2019,July,2019,157419
43,Jagtial ,01-08-2019,August,2019,151570
44,Jagtial ,01-09-2019,September,2019,157564
45,Jagtial ,01-10-2019,October,2019,165070
46,Jagtial ,01-11-2019,November,2019,277630
47,Jagtial ,01-12-2019,December,2019,372959
48,Jangaon ,01-01-2019,January,2019,28750
49,Jangaon ,01-02-2019,February,2019,28810
50,Jangaon ,01-03-2019,March,2019,27300
51,Jangaon ,01-04-2019,April,2019,26160
52,Jangaon ,01-05-2019,May,2019,26740
53,Jangaon ,01-06-2019,June,2019,25820
54,Jangaon ,01-07-2019,July,2019,24160
55,Jangaon ,01-08-2019,August,2019,27800
56,Jangaon ,01-09-2019,September,2019,28640
57,Jangaon ,01-10-2019,October,2019,27840
58,Jangaon ,01-11-2019,November,2019,28410
59,Jangaon ,01-12-2019,December,2019,28460
60,Jayashankar Bhoopalpally,01-01-2019,January,2019,197430
61,Jayashankar Bhoopalpally,01-02-2019,February,2019,33500
62,Jayashankar Bhoopalpally,01-03-2019,March,2019,37500
63,Jayashankar Bhoopalpally,01-04-2019,April,2019,38500
64,Jayashankar Bhoopalpally,01-05-2019,May,2019,30800
65,Jayashankar Bhoopalpally,01-06-2019,June,2019,40500
66,Jayashankar Bhoopalpally,01-07-2019,July,2019,45500
67,Jayashankar Bhoopalpally,01-08-2019,August,2019,45000
68,Jayashankar Bhoopalpally,01-09-2019,September,2019,50500
69,Jayashankar Bhoopalpally,01-10-2019,October,2019,46000
70,Jayashankar Bhoopalpally,01-11-2019,November,2019,51500
71,Jayashankar Bhoopalpally,01-12-2019,December,2019,45800
72,Jogulamba Gadwal ,01-01-2019,January,2019,146441
73,Jogulamba Gadwal ,01-02-2019,February,2019,481110
74,Jogulamba Gadwal ,01-03-2019,March,2019,155013
75,Jogulamba Gadwal ,01-04-2019,April,2019,82334
76,Jogulamba Gadwal ,01-05-2019,May,2019,154609
77,Jogulamba Gadwal ,01-06-2019,June,2019,155013
78,Jogulamba Gadwal ,01-07-2019,July,2019,114951
79,Jogulamba Gadwal ,01-08-2019,August,2019,123733
80,Jogulamba Gadwal ,01-09-2019,September,2019,131485
81,Jogulamba Gadwal ,01-10-2019,October,2019,152898
82,Jogulamba Gadwal ,01-11-2019,November,2019,128075
83,Jogulamba Gadwal ,01-12-2019,December,2019,182333
84,Kamareddy ,01-01-2019,January,2019,42
85,Kamareddy ,01-02-2019,February,2019,41
86,Kamareddy ,01-03-2019,March,2019,45
87,Kamareddy ,01-04-2019,April,2019,41
88,Kamareddy ,01-05-2019,May,2019,46
89,Kamareddy ,01-06-2019,June,2019,41
90,Kamareddy ,01-07-2019,July,2019,50
91,Kamareddy ,01-08-2019,August,2019,50
92,Kamareddy ,01-09-2019,September,2019,41
93,Kamareddy ,01-10-2019,October,2019,46
94,Kamareddy ,01-11-2019,November,2019,46
95,Kamareddy ,01-12-2019,December,2019,45
96,Karimnagar ,01-01-2019,January,2019,10285
97,Karimnagar ,01-02-2019,February,2019,6480
98,Karimnagar ,01-03-2019,March,2019,6634
99,Karimnagar ,01-04-2019,April,2019,5623
100,Karimnagar ,01-05-2019,May,2019,3393
101,Karimnagar ,01-06-2019,June,2019,3871
102,Karimnagar ,01-07-2019,July,2019,5192
103,Karimnagar ,01-08-2019,August,2019,5480
104,Karimnagar ,01-09-2019,September,2019,8735
105,Karimnagar ,01-10-2019,October,2019,6799
106,Karimnagar ,01-11-2019,November,2019,7101
107,Karimnagar ,01-12-2019,December,2019,7898
108,Khammam,01-01-2019,January,2019,123550
109,Khammam,01-02-2019,February,2019,98471
110,Khammam,01-03-2019,March,2019,91340
111,Khammam,01-04-2019,April,2019,135920
112,Khammam,01-05-2019,May,2019,130971
113,Khammam,01-06-2019,June,2019,127270
114,Khammam,01-07-2019,July,2019,103260
115,Khammam,01-08-2019,August,2019,111374
116,Khammam,01-09-2019,September,2019,133754
117,Khammam,01-10-2019,October,2019,128625
118,Khammam,01-11-2019,November,2019,104380
119,Khammam,01-12-2019,December,2019,124525
120,Komaram Bheem Asifabad,01-01-2019,January,2019,2476
121,Komaram Bheem Asifabad,01-02-2019,February,2019,1449
122,Komaram Bheem Asifabad,01-03-2019,March,2019,1212
123,Komaram Bheem Asifabad,01-04-2019,April,2019,663
124,Komaram Bheem Asifabad,01-05-2019,May,2019,493
125,Komaram Bheem Asifabad,01-06-2019,June,2019,506
126,Komaram Bheem Asifabad,01-07-2019,July,2019,1287
127,Komaram Bheem Asifabad,01-08-2019,August,2019,2572
128,Komaram Bheem Asifabad,01-09-2019,September,2019,1629
129,Komaram Bheem Asifabad,01-10-2019,October,2019,1943
130,Komaram Bheem Asifabad,01-11-2019,November,2019,2176
131,Komaram Bheem Asifabad,01-12-2019,December,2019,2783
132,Mahabubabad ,01-01-2019,January,2019,13480
133,Mahabubabad ,01-02-2019,February,2019,13545
134,Mahabubabad ,01-03-2019,March,2019,13490
135,Mahabubabad ,01-04-2019,April,2019,12980
136,Mahabubabad ,01-05-2019,May,2019,11970
137,Mahabubabad ,01-06-2019,June,2019,11460
138,Mahabubabad ,01-07-2019,July,2019,13470
139,Mahabubabad ,01-08-2019,August,2019,12190
140,Mahabubabad ,01-09-2019,September,2019,13210
141,Mahabubabad ,01-10-2019,October,2019,12260
142,Mahabubabad ,01-11-2019,November,2019,12470
143,Mahabubabad ,01-12-2019,December,2019,12360
144,Mahbubnagar,01-01-2019,January,2019,168082
145,Mahbubnagar,01-02-2019,February,2019,798949
146,Mahbubnagar,01-03-2019,March,2019,173658
147,Mahbubnagar,01-04-2019,April,2019,183268
148,Mahbubnagar,01-05-2019,May,2019,175202
149,Mahbubnagar,01-06-2019,June,2019,175853
150,Mahbubnagar,01-07-2019,July,2019,100398
151,Mahbubnagar,01-08-2019,August,2019,104787
152,Mahbubnagar,01-09-2019,September,2019,141387
153,Mahbubnagar,01-10-2019,October,2019,130227
154,Mahbubnagar,01-11-2019,November,2019,234066
155,Mahbubnagar,01-12-2019,December,2019,148938
156,Mancherial,01-01-2019,January,2019,18420
157,Mancherial,01-02-2019,February,2019,26325
158,Mancherial,01-03-2019,March,2019,16253
159,Mancherial,01-04-2019,April,2019,23026
160,Mancherial,01-05-2019,May,2019,26616
161,Mancherial,01-06-2019,June,2019,24593
162,Mancherial,01-07-2019,July,2019,22303
163,Mancherial,01-08-2019,August,2019,21191
164,Mancherial,01-09-2019,September,2019,24079
165,Mancherial,01-10-2019,October,2019,20867
166,Mancherial,01-11-2019,November,2019,29302
167,Mancherial,01-12-2019,December,2019,16835
168,Medak ,01-01-2019,January,2019,400000
169,Medak ,01-02-2019,February,2019,600000
170,Medak ,01-03-2019,March,2019,1000000
171,Medak ,01-04-2019,April,2019,650000
172,Medak ,01-05-2019,May,2019,400000
173,Medak ,01-06-2019,June,2019,300000
174,Medak ,01-07-2019,July,2019,350000
175,Medak ,01-08-2019,August,2019,349900
176,Medak ,01-09-2019,September,2019,350400
177,Medak ,01-10-2019,October,2019,350000
