,district,Year,mean,month,Visitors
117,Kamareddy ,2016,42.333333333333336,February,
118,Karimnagar ,2016,763955.6666666666,February,779960.0
119,Khammam,2016,417085.9166666667,February,407533.0
120,Komaram Bheem Asifabad,2016,0.0,February,
121,Mahabubabad ,2016,46667.333333333336,February,
122,Mahbubnagar,2016,692063.8333333334,February,1312068.0
123,Mancherial,2016,2600.6666666666665,February,
124,Medak ,2016,288600.0,February,215000.0
125,Nagarkurnool ,2016,196157.66666666663,February,
126,Nalgonda,2016,488205.0833333333,February,539467.0
127,Nirmal,2016,305536.6666666667,February,
128,Nizamabad,2016,536.8333333333334,February,869.0
129,Peddapalli,2016,1081.3333333333333,February,
130,Rajanna Sircilla ,2016,725600.3333333334,February,
131,Sangareddy ,2016,259333.3333333333,February,
132,Siddipet,2016,119466.66666666669,February,
133,Wanaparthy ,2016,20046.0,February,
134,Warangal (Rural),2016,6466.666666666667,February,
135,Warangal (Urban),2016,2149002.9166666665,February,20703778.0
136,Yadadri Bhongir,2016,576200.0,February,
137,Adilabad,2017,68781.66666666667,February,83316.0
138,Bhadradri Kothagudem ,2017,341193.0833333333,February,251359.0
139,Hyderabad,2017,2263353.5,February,1886698.0
140,Jagtial ,2017,303450.0833333333,February,159659.0
141,Jangaon ,2017,13809.0,February,12610.0
142,Jayashankar Bhoopalpally,2017,152584.16666666666,February,96850.0
143,Jogulamba Gadwal ,2017,187116.5833333333,February,481110.0
144,Kamareddy ,2017,45.0,February,50.0
145,Karimnagar ,2017,10331.333333333334,February,10845.0
146,Khammam,2017,128533.58333333331,February,115470.0
147,Komaram Bheem Asifabad,2017,4249.25,February,2490.0
148,Mahabubabad ,2017,11817.916666666666,February,13045.0
149,Mahbubnagar,2017,290685.75,February,805392.0
150,Mancherial,2017,15968.833333333334,February,3130.0
151,Medak ,2017,643905.75,February,543321.0
152,Nagarkurnool ,2017,221137.0833333333,February,286258.0
153,Nalgonda,2017,20159.666666666668,February,8652.0
154,Nirmal,2017,367090.25,February,415326.0
155,Nizamabad,2017,1829.0833333333333,February,1752.0
156,Peddapalli,2017,1241.5,February,1378.0
157,Rajanna Sircilla ,2017,993278.9166666666,February,1255569.0
158,Sangareddy ,2017,235287.5,February,140000.0
159,Siddipet,2017,95476.75,February,80500.0
160,Wanaparthy ,2017,20391.75,February,22342.0
161,Warangal (Rural),2017,12020.833333333334,February,8300.0
162,Warangal (Urban),2017,118333.5,February,126608.0
163,Yadadri Bhongir,2017,583477.3333333334,February,540500.0
164,Adilabad,2018,53728.583333333336,February,36550.0
165,Bhadradri Kothagudem ,2018,316656.5,February,240634.0
166,Hyderabad,2018,1628637.5833333333,February,1365837.0
167,Jagtial ,2018,329410.0833333333,February,349576.0
168,Jangaon ,2018,24251.83333333333,February,18600.0
169,Jayashankar Bhoopalpally,2018,1407993.75,February,8626250.0
170,Jogulamba Gadwal ,2018,169712.08333333334,February,481110.0
171,Kamareddy ,2018,47.66666666666666,February,44.0
172,Karimnagar ,2018,7787.333333333333,February,9330.0
173,Khammam,2018,118120.08333333331,February,104444.0
174,Komaram Bheem Asifabad,2018,1879.5,February,2736.0
175,Mahabubabad ,2018,13832.916666666666,February,14230.0
176,Mahbubnagar,2018,237692.3333333333,February,788083.0
177,Mancherial,2018,33167.0,February,38599.0
178,Medak ,2018,325000.0,February,1000000.0
179,Nagarkurnool ,2018,174077.08333333334,February,286258.0
180,Nalgonda,2018,13386.5,February,9971.0
181,Nirmal,2018,348110.4166666667,February,335447.0
182,Nizamabad,2018,3451.9166666666665,February,7152.0
183,Peddapalli,2018,1854.5,February,2695.0
184,Rajanna Sircilla ,2018,902852.5833333334,February,1021787.0
185,Sangareddy ,2018,189158.3333333333,February,540000.0
186,Siddipet,2018,106941.66666666669,February,44000.0
187,Wanaparthy ,2018,23883.33333333333,February,22341.0
188,Warangal (Rural),2018,25167.666666666668,February,26300.0
189,Warangal (Urban),2018,143611.33333333334,February,145750.0
190,Yadadri Bhongir,2018,1139448.1666666667,February,3073872.0
191,Adilabad,2019,64657.91666666666,February,406177.0
192,Bhadradri Kothagudem ,2019,1068144.75,February,229159.0
193,Hyderabad,2019,1150196.8333333333,February,983147.0
194,Jagtial ,2019,257176.25,February,215105.0
195,Jangaon ,2019,27407.5,February,28810.0
196,Jayashankar Bhoopalpally,2019,55210.833333333336,February,33500.0
197,Jogulamba Gadwal ,2019,167332.91666666666,February,481110.0
198,Kamareddy ,2019,44.5,February,41.0
199,Karimnagar ,2019,6457.583333333333,February,6480.0
200,Khammam,2019,117786.66666666669,February,98471.0
201,Komaram Bheem Asifabad,2019,1599.0833333333333,February,1449.0
202,Mahabubabad ,2019,12740.416666666666,February,13545.0
203,Mahbubnagar,2019,211234.5833333333,February,798949.0
204,Mancherial,2019,22484.166666666668,February,26325.0
205,Medak ,2019,454380.8333333333,February,600000.0
206,Mulugu,2019,151650.0,February,159640.0
207,Nagarkurnool ,2019,174442.66666666666,February,286258.0
208,Nalgonda,2019,11743.166666666666,February,13697.0
209,Narayanapet,2019,64875.0,February,
210,Nirmal,2019,318064.8333333333,February,443898.0
211,Nizamabad,2019,3861.0833333333335,February,915.0
212,Peddapalli,2019,1381.75,February,1157.0
213,Rajanna Sircilla ,2019,1402741.4166666667,February,1015550.0
214,Sangareddy ,2019,379430.0,February,148000.0
215,Siddipet,2019,248988.66666666663,February,199549.0
216,Wanaparthy ,2019,24886.58333333333,February,22342.0
217,Warangal (Rural),2019,29458.33333333333,February,28800.0
218,Warangal (Urban),2019,149602.5,February,157755.0
219,Yadadri Bhongir,2019,374114.5,February,56525.0
220,Adilabad,2016,422963.0833333333,March,582946.0
221,Bhadradri Kothagudem ,2016,296343.3333333333,March,
222,Hyderabad,2016,1949558.75,March,1017794.0
223,Jagtial ,2016,207692.3333333333,March,
224,Jangaon ,2016,13553.333333333334,March,
225,Jayashankar Bhoopalpally,2016,81133.33333333333,March,
226,Jogulamba Gadwal ,2016,174467.0,March,
227,Kamareddy ,2016,42.333333333333336,March,
228,Karimnagar ,2016,763955.6666666666,March,1018399.0
229,Khammam,2016,417085.9166666667,March,458527.0
230,Komaram Bheem Asifabad,2016,0.0,March,
231,Mahabubabad ,2016,46667.333333333336,March,
232,Mahbubnagar,2016,692063.8333333334,March,1731983.0
233,Mancherial,2016,2600.6666666666665,March,
234,Medak ,2016,288600.0,March,1318000.0
235,Nagarkurnool ,2016,196157.66666666663,March,
236,Nalgonda,2016,488205.0833333333,March,619462.0
237,Nirmal,2016,305536.6666666667,March,
238,Nizamabad,2016,536.8333333333334,March,408.0
239,Peddapalli,2016,1081.3333333333333,March,
240,Rajanna Sircilla ,2016,725600.3333333334,March,
241,Sangareddy ,2016,259333.3333333333,March,
242,Siddipet,2016,119466.66666666669,March,
243,Wanaparthy ,2016,20046.0,March,
244,Warangal (Rural),2016,6466.666666666667,March,
245,Warangal (Urban),2016,2149002.9166666665,March,568397.0
246,Yadadri Bhongir,2016,576200.0,March,
247,Adilabad,2017,68781.66666666667,March,27508.0
248,Bhadradri Kothagudem ,2017,341193.0833333333,March,243943.0
249,Hyderabad,2017,2263353.5,March,1783903.0
250,Jagtial ,2017,303450.0833333333,March,323658.0
251,Jangaon ,2017,13809.0,March,8450.0
252,Jayashankar Bhoopalpally,2017,152584.16666666666,March,81400.0
253,Jogulamba Gadwal ,2017,187116.5833333333,March,155013.0
254,Kamareddy ,2017,45.0,March,41.0
255,Karimnagar ,2017,10331.333333333334,March,9625.0
256,Khammam,2017,128533.58333333331,March,101878.0
257,Komaram Bheem Asifabad,2017,4249.25,March,2767.0
258,Mahabubabad ,2017,11817.916666666666,March,9100.0
259,Mahbubnagar,2017,290685.75,March,178256.0
260,Mancherial,2017,15968.833333333334,March,2775.0
261,Medak ,2017,643905.75,March,548535.0
262,Nagarkurnool ,2017,221137.0833333333,March,184508.0
263,Nalgonda,2017,20159.666666666668,March,8054.0
264,Nirmal,2017,367090.25,March,442057.0
265,Nizamabad,2017,1829.0833333333333,March,660.0
266,Peddapalli,2017,1241.5,March,965.0
267,Rajanna Sircilla ,2017,993278.9166666666,March,1030441.0
268,Sangareddy ,2017,235287.5,March,275000.0
269,Siddipet,2017,95476.75,March,80500.0
270,Wanaparthy ,2017,20391.75,March,20050.0
271,Warangal (Rural),2017,12020.833333333334,March,7800.0
272,Warangal (Urban),2017,118333.5,March,118298.0
273,Yadadri Bhongir,2017,583477.3333333334,March,525588.0
274,Adilabad,2018,53728.583333333336,March,23011.0
275,Bhadradri Kothagudem ,2018,316656.5,March,421275.0
276,Hyderabad,2018,1628637.5833333333,March,1415938.0
277,Jagtial ,2018,329410.0833333333,March,416716.0
278,Jangaon ,2018,24251.83333333333,March,17300.0
279,Jayashankar Bhoopalpally,2018,1407993.75,March,146150.0
280,Jogulamba Gadwal ,2018,169712.08333333334,March,155013.0
281,Kamareddy ,2018,47.66666666666666,March,45.0
282,Karimnagar ,2018,7787.333333333333,March,7205.0
283,Khammam,2018,118120.08333333331,March,127152.0
284,Komaram Bheem Asifabad,2018,1879.5,March,1826.0
285,Mahabubabad ,2018,13832.916666666666,March,13110.0
286,Mahbubnagar,2018,237692.3333333333,March,166863.0
