,district,date,month,year,visitors
0,Adilabad,01-01-2017,January,2017,318799
1,Adilabad,01-02-2017,February,2017,83316
2,Adilabad,01-03-2017,March,2017,27508
3,Adilabad,01-04-2017,April,2017,13946
4,Adilabad,01-05-2017,May,2017,11752
5,Adilabad,01-06-2017,June,2017,26859
6,Adilabad,01-07-2017,July,2017,52386
7,Adilabad,01-08-2017,August,2017,34876
8,Adilabad,01-09-2017,September,2017,42699
9,Adilabad,01-10-2017,October,2017,41666
10,Adilabad,01-11-2017,November,2017,117322
11,Adilabad,01-12-2017,December,2017,54251
12,Bhadradri Kothagudem ,01-01-2017,January,2017,302315
13,Bhadradri Kothagudem ,01-02-2017,February,2017,251359
14,Bhadradri Kothagudem ,01-03-2017,March,2017,243943
15,Bhadradri Kothagudem ,01-04-2017,April,2017,667459
16,Bhadradri Kothagudem ,01-05-2017,May,2017,311626
17,Bhadradri Kothagudem ,01-06-2017,June,2017,351742
18,Bhadradri Kothagudem ,01-07-2017,July,2017,258114
19,Bhadradri Kothagudem ,01-08-2017,August,2017,316438
20,Bhadradri Kothagudem ,01-09-2017,September,2017,381784
21,Bhadradri Kothagudem ,01-10-2017,October,2017,334504
22,Bhadradri Kothagudem ,01-11-2017,November,2017,281515
23,Bhadradri Kothagudem ,01-12-2017,December,2017,393518
24,Hyderabad,01-01-2017,January,2017,1924695
25,Hyderabad,01-02-2017,February,2017,1886698
26,Hyderabad,01-03-2017,March,2017,1783903
27,Hyderabad,01-04-2017,April,2017,2366793
28,Hyderabad,01-05-2017,May,2017,2266793
29,Hyderabad,01-06-2017,June,2017,2007060
30,Hyderabad,01-07-2017,July,2017,1890870
31,Hyderabad,01-08-2017,August,2017,1976980
32,Hyderabad,01-09-2017,September,2017,2011280
33,Hyderabad,01-10-2017,October,2017,2202316
34,Hyderabad,01-11-2017,November,2017,1971438
35,Hyderabad,01-12-2017,December,2017,4871416
36,Jagtial ,01-01-2017,January,2017,174477
37,Jagtial ,01-02-2017,February,2017,159659
38,Jagtial ,01-03-2017,March,2017,323658
