,district,January,February,March,April,May,June,July,August,September,October,November,December,Year
0,Adilabad,792136,937820,582946,341948,252887,368237,447562,614285,491279,94184,99148,53125,2016
1,Bhadradri Kothagudem , , , , , , , , , ,310133,252127,326770,2016
2,Hyderabad,1122510,778748,1017794,1127738,1287181,12032661,1096754,1061137,832987,901960,909733,1225502,2016
3,Jagtial , , , , , , , , , ,201249,214534,207294,2016
4,Jangaon , , , , , , , , , ,14770,13210,12680,2016
5,Jayashankar Bhoopalpally, , , , , , , , , ,76360,81580,85460,2016
6,Jogulamba Gadwal , , , , , , , , , ,152898,188170,182333,2016
7,Kamareddy , , , , , , , , , ,47,38,42,2016
8,Karimnagar ,1984442,779960,1018399,956959,1095642,914746,401047,1018399,956959,13675,13350,13890,2016
9,Khammam,651827,407533,458527,971622,433994,445862,414963,503654,368437,121575,110634,116403,2016
10,Komaram Bheem Asifabad, , , , , , , , , ,0,0,0,2016
11,Mahabubabad , , , , , , , , , ,13032,114015,12955,2016
12,Mahbubnagar,577071,1312068,1731983,622432,571898,561006,562322,1133105,567712,198592,256375,210202,2016
13,Mancherial, , , , , , , , , ,3124,2255,2423,2016
14,Medak ,92600,215000,1318000,300000,198000,166700,153300,216100,132600,15600,132300,523000,2016
16,Nagarkurnool , , , , , , , , , ,201050,188786,198637,2016
17,Nalgonda,566515,539467,619462,601253,628872,551239,582820,988102,742402,3508,21046,13775,2016
18,Nirmal, , , , , , , , , ,475955,201388,239267,2016
19,Nizamabad,576,869,408,476,554,367,644,589,553,434,617,355,2016
20,Peddapalli, , , , , , , , , ,950,1145,1149,2016
21,Rajanna Sircilla , , , , , , , , , ,534484,864077,778240,2016
23,Sangareddy , , , , , , , , , ,274000,349000,155000,2016
24,Siddipet, , , , , , , , , ,123500,154400,80500,2016
27,Wanaparthy , , , , , , , , , ,21234,18348,20556,2016
28,Warangal (Rural), , , , , , , , , ,8200,6050,5150,2016
29,Warangal (Urban),1985815,20703778,568397,317643,373788,365332,340320,368755,379210,128247,129250,127500,2016
30,Yadadri Bhongir, , , , , , , , , ,584800,681000,462800,2016
