,district,January,February,March,April,May,June,July,August,September,October,November,December,Year
0,Adilabad,25071,406177,14347,9972,6997,9161,11791,108173,37589,38184,70344,38089,2019
1,Bhadradri Kothagudem ,283365,229159,225448,349585,275800,9761776,233338,271941,314199,287432,298366,287328,2019
2,Hyderabad,1426500,983147,1009991,1045933,1305748,1262995,1094861,1121380,959930,1240643,1073665,1277569,2019
3,Jagtial ,211913,215105,194090,447226,500206,235363,157419,151570,157564,165070,277630,372959,2019
4,Jangaon ,28750,28810,27300,26160,26740,25820,24160,27800,28640,27840,28410,28460,2019
5,Jayashankar Bhoopalpally,197430,33500,37500,38500,30800,40500,45500,45000,50500,46000,51500,45800,2019
6,Jogulamba Gadwal ,146441,481110,155013,82334,154609,155013,114951,123733,131485,152898,128075,182333,2019
7,Kamareddy ,42,41,45,41,46,41,50,50,41,46,46,45,2019
8,Karimnagar ,10285,6480,6634,5623,3393,3871,5192,5480,8735,6799,7101,7898,2019
9,Khammam,123550,98471,91340,135920,130971,127270,103260,111374,133754,128625,104380,124525,2019
10,Komaram Bheem Asifabad,2476,1449,1212,663,493,506,1287,2572,1629,1943,2176,2783,2019
11,Mahabubabad ,13480,13545,13490,12980,11970,11460,13470,12190,13210,12260,12470,12360,2019
12,Mahbubnagar,168082,798949,173658,183268,175202,175853,100398,104787,141387,130227,234066,148938,2019
13,Mancherial,18420,26325,16253,23026,26616,24593,22303,21191,24079,20867,29302,16835,2019
14,Medak ,400000,600000,1000000,650000,400000,300000,350000,349900,350400,350000,351560,350710,2019
16,Mulugu,0,159640,156610,152570,154550,163480,167700,171050,172900,172500,173700,175100,2019
17,Nagarkurnool ,228812,286258,184508,121460,184372,184508,93450,118010,175712,196160,121425,198637,2019
18,Nalgonda,21284,13697,8467,7202,26338,5558,19783,7473,5230,5290,7177,13419,2019
19,Narayanapet,,,,,,,68842,72249,62841,58213,62750,64355,2019
20,Nirmal,313675,443898,424964,327971,149705,349747,359495,334646,299827,263412,253388,296050,2019
21,Nizamabad,878,915,938,958,1193,686,990,1004,6572,8849,11950,11400,2019
22,Peddapalli,1055,1157,895,942,802,735,1085,1505,1785,2080,2225,2315,2019
23,Rajanna Sircilla ,6188298,1015550,1444971,1148062,1018131,1128849,422961,586118,501293,646492,1259371,1472801,2019
25,Sangareddy ,144000,148000,747000,205000,133000,347000,467000,466150,468350,467470,481720,478470,2019
26,Siddipet,140793,199549,204600,184412,110500,1037000,179320,190750,122550,191330,209130,217930,2019
29,Wanaparthy ,28131,22342,20050,23749,20010,20050,32625,35860,21375,21234,32657,20556,2019
30,Warangal (Rural),28700,28800,29000,26900,24900,27100,28600,31600,32600,31100,32150,32050,2019
31,Warangal (Urban),151545,157755,154305,150425,143230,144400,145440,148030,151070,147450,153880,147700,2019
32,Yadadri Bhongir,479293,56525,481923,441150,345790,370566,332770,389010,366862,381860,365990,477635,2019
