,district,January,February,March,April,May,June,July,August,September,October,November,December,Year
0,Adilabad,318799,83316,27508,13946,11752,26859,52386,34876,42699,41666,117322,54251,2017
1,Bhadradri Kothagudem ,302315,251359,243943,667459,311626,351742,258114,316438,381784,334504,281515,393518,2017
2,Hyderabad,1924695,1886698,1783903,2366793,2266793,2007060,1890870,1976980,2011280,2202316,1971438,4871416,2017
3,Jagtial ,174477,159659,323658,330540,468038,418103,247254,386458,143102,248504,348042,393566,2017
4,Jangaon ,12280,12610,8450,9788,12130,13750,16050,15680,15600,16130,16360,16880,2017
5,Jayashankar Bhoopalpally,96560,96850,81400,90700,91150,93650,94700,118350,112600,115250,116800,723000,2017
6,Jogulamba Gadwal ,214887,481110,155013,131426,131426,160182,160182,131485,123733,152898,188170,214887,2017
7,Kamareddy ,58,50,41,46,60,41,41,40,41,38,43,41,2017
8,Karimnagar ,14425,10845,9625,8630,8890,10542,12350,10952,7576,8371,8705,13065,2017
9,Khammam,132528,115470,101878,135920,138799,138158,105102,129159,140821,155943,110800,137825,2017
10,Komaram Bheem Asifabad,2241,2490,2767,3074,3416,3796,3713,3665,3934,14050,3627,4218,2017
11,Mahabubabad ,13260,13045,9100,9140,10220,10130,10170,12520,13140,13750,13560,13780,2017
12,Mahbubnagar,446135,805392,178256,208694,214209,179210,179099,215229,180675,196103,259060,426167,2017
13,Mancherial,2937,3130,2775,1513,1424,2119,33591,26104,24297,37671,25737,30328,2017
14,Medak ,523000,543321,548535,554864,556891,561469,575300,632830,696113,765724,842296,926526,2017
16,Nagarkurnool ,382879,286258,184508,183697,183697,180010,180010,181861,118010,201050,188786,382879,2017
17,Nalgonda,4447,8652,8054,44295,10750,37879,21361,9363,17465,36066,17687,25897,2017
18,Nirmal,340311,415326,442057,274132,297233,340359,328101,340430,528540,388644,369365,340585,2017
19,Nizamabad,613,1752,660,1048,1341,2391,1520,1583,933,6644,1677,1787,2017
20,Peddapalli,1345,1378,965,750,640,885,1095,1385,1155,1595,1940,1765,2017
21,Rajanna Sircilla ,615842,1255569,1030441,1146782,1117228,1113882,462022,1004410,487060,845620,1191129,1649362,2017
23,Sangareddy ,195000,140000,275000,215000,215000,180000,195000,295000,200000,232000,324500,356950,2017
24,Siddipet,80500,80500,80500,80500,80500,60000,88550,97405,107146,117861,129647,142612,2017
27,Wanaparthy ,22152,22342,20050,11502,11502,19092,19092,21375,35860,21234,18348,22152,2017
28,Warangal (Rural),8000,8300,7800,7600,8500,9000,13600,13650,13800,16500,16300,21200,2017
29,Warangal (Urban),130608,126608,118298,107133,109915,111530,116545,116810,117150,119255,119360,126790,2017
30,Yadadri Bhongir,678000,540500,525588,570000,458700,685880,481240,680720,678925,683500,537600,481075,2017
